# bench_paper_fusion — NVIDIA GeForce RTX 5090, reps=50, dtype=both
CHECK shape=12x4 dtype=f32 impl=fused maxerr=6.885e-08
CHECK shape=12x4 dtype=f32 impl=chain maxerr=5.251e-08
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=fused_tb32 ns=13889.28
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=fused_tb128 ns=7831.04
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=fused_tb256 ns=7180.80
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=fused_tb512 ns=6227.84
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=chain ns=23125.76
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=fused_tb32 ns=870.32
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=fused_tb128 ns=499.12
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=fused_tb256 ns=445.20
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=fused_tb512 ns=430.48
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=chain ns=1408.08
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=fused_tb32 ns=220.29
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=fused_tb128 ns=123.96
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=fused_tb256 ns=110.90
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=fused_tb512 ns=103.97
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=chain ns=346.13
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=fused_tb32 ns=54.55
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=fused_tb128 ns=31.24
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=fused_tb256 ns=28.09
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=fused_tb512 ns=28.10
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=chain ns=87.88
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1024 impl=fused_tb32 ns=14.55
