# bench_paper_fusion — NVIDIA GeForce RTX 5090, reps=50, dtype=both
CHECK shape=12x4 dtype=f32 impl=fused maxerr=6.885e-08
CHECK shape=12x4 dtype=f32 impl=chain maxerr=5.251e-08
RESULT op=riccati dtype=f32 NX=48 NU=16 B=64 impl=chain ns=473.36
RESULT op=riccati dtype=f32 NX=48 NU=16 B=256 impl=fused_tb32 ns=765.84
RESULT op=riccati dtype=f32 NX=48 NU=16 B=256 impl=fused_tb128 ns=253.58
RESULT op=riccati dtype=f32 NX=48 NU=16 B=256 impl=chain ns=145.99
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1024 impl=fused_tb32 ns=755.38
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1024 impl=fused_tb128 ns=244.85
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1024 impl=chain ns=82.57
RESULT op=riccati dtype=f32 NX=48 NU=16 B=4096 impl=fused_tb32 ns=625.33
RESULT op=riccati dtype=f32 NX=48 NU=16 B=4096 impl=fused_tb128 ns=200.80
RESULT op=riccati dtype=f32 NX=48 NU=16 B=4096 impl=chain ns=71.96
CHECK shape=12x4 dtype=f64 impl=fused maxerr=1.388e-16
CHECK shape=12x4 dtype=f64 impl=chain maxerr=1.665e-16
RESULT op=riccati dtype=f64 NX=12 NU=4 B=1 impl=fused_tb32 ns=28387.84
RESULT op=riccati dtype=f64 NX=12 NU=4 B=1 impl=fused_tb128 ns=15723.52
RESULT op=riccati dtype=f64 NX=12 NU=4 B=1 impl=chain ns=36318.72
RESULT op=riccati dtype=f64 NX=12 NU=4 B=16 impl=fused_tb32 ns=1768.28
RESULT op=riccati dtype=f64 NX=12 NU=4 B=16 impl=fused_tb128 ns=985.44
RESULT op=riccati dtype=f64 NX=12 NU=4 B=16 impl=chain ns=2043.24
RESULT op=riccati dtype=f64 NX=12 NU=4 B=64 impl=fused_tb32 ns=443.95
RESULT op=riccati dtype=f64 NX=12 NU=4 B=64 impl=fused_tb128 ns=247.09
RESULT op=riccati dtype=f64 NX=12 NU=4 B=64 impl=chain ns=511.98
RESULT op=riccati dtype=f64 NX=12 NU=4 B=256 impl=fused_tb32 ns=114.44
RESULT op=riccati dtype=f64 NX=12 NU=4 B=256 impl=fused_tb128 ns=69.25
RESULT op=riccati dtype=f64 NX=12 NU=4 B=256 impl=chain ns=162.74
RESULT op=riccati dtype=f64 NX=12 NU=4 B=1024 impl=fused_tb32 ns=34.04
RESULT op=riccati dtype=f64 NX=12 NU=4 B=1024 impl=fused_tb128 ns=33.58
RESULT op=riccati dtype=f64 NX=12 NU=4 B=1024 impl=chain ns=109.34
RESULT op=riccati dtype=f64 NX=12 NU=4 B=4096 impl=fused_tb32 ns=27.51
RESULT op=riccati dtype=f64 NX=12 NU=4 B=4096 impl=fused_tb128 ns=27.33
RESULT op=riccati dtype=f64 NX=12 NU=4 B=4096 impl=chain ns=83.59
CHECK shape=14x7 dtype=f64 impl=fused maxerr=2.220e-16
CHECK shape=14x7 dtype=f64 impl=chain maxerr=1.665e-16
RESULT op=riccati dtype=f64 NX=14 NU=7 B=1 impl=fused_tb32 ns=58761.60
RESULT op=riccati dtype=f64 NX=14 NU=7 B=1 impl=fused_tb128 ns=26040.96
RESULT op=riccati dtype=f64 NX=14 NU=7 B=1 impl=chain ns=41835.52
RESULT op=riccati dtype=f64 NX=14 NU=7 B=16 impl=fused_tb32 ns=3681.16
RESULT op=riccati dtype=f64 NX=14 NU=7 B=16 impl=fused_tb128 ns=1624.60
RESULT op=riccati dtype=f64 NX=14 NU=7 B=16 impl=chain ns=3102.60
RESULT op=riccati dtype=f64 NX=14 NU=7 B=64 impl=fused_tb32 ns=917.43
RESULT op=riccati dtype=f64 NX=14 NU=7 B=64 impl=fused_tb128 ns=406.93
RESULT op=riccati dtype=f64 NX=14 NU=7 B=64 impl=chain ns=772.74
RESULT op=riccati dtype=f64 NX=14 NU=7 B=256 impl=fused_tb32 ns=234.43
RESULT op=riccati dtype=f64 NX=14 NU=7 B=256 impl=fused_tb128 ns=116.28
RESULT op=riccati dtype=f64 NX=14 NU=7 B=256 impl=chain ns=250.42
RESULT op=riccati dtype=f64 NX=14 NU=7 B=1024 impl=fused_tb32 ns=66.75
RESULT op=riccati dtype=f64 NX=14 NU=7 B=1024 impl=fused_tb128 ns=63.38
RESULT op=riccati dtype=f64 NX=14 NU=7 B=1024 impl=chain ns=156.83
RESULT op=riccati dtype=f64 NX=14 NU=7 B=4096 impl=fused_tb32 ns=62.34
RESULT op=riccati dtype=f64 NX=14 NU=7 B=4096 impl=fused_tb128 ns=52.29
RESULT op=riccati dtype=f64 NX=14 NU=7 B=4096 impl=chain ns=122.22
CHECK shape=36x12 dtype=f64 impl=fused maxerr=1.527e-16
CHECK shape=36x12 dtype=f64 impl=chain maxerr=1.665e-16
RESULT op=riccati dtype=f64 NX=36 NU=12 B=1 impl=fused_tb32 ns=257218.56
RESULT op=riccati dtype=f64 NX=36 NU=12 B=1 impl=fused_tb128 ns=83100.80
RESULT op=riccati dtype=f64 NX=36 NU=12 B=1 impl=chain ns=78899.20
RESULT op=riccati dtype=f64 NX=36 NU=12 B=16 impl=fused_tb32 ns=16073.24
RESULT op=riccati dtype=f64 NX=36 NU=12 B=16 impl=fused_tb128 ns=5200.80
RESULT op=riccati dtype=f64 NX=36 NU=12 B=16 impl=chain ns=4477.08
RESULT op=riccati dtype=f64 NX=36 NU=12 B=64 impl=fused_tb32 ns=4018.69
RESULT op=riccati dtype=f64 NX=36 NU=12 B=64 impl=fused_tb128 ns=1300.33
RESULT op=riccati dtype=f64 NX=36 NU=12 B=64 impl=chain ns=1334.14
RESULT op=riccati dtype=f64 NX=36 NU=12 B=256 impl=fused_tb32 ns=1012.89
RESULT op=riccati dtype=f64 NX=36 NU=12 B=256 impl=fused_tb128 ns=407.81
RESULT op=riccati dtype=f64 NX=36 NU=12 B=256 impl=chain ns=952.00
RESULT op=riccati dtype=f64 NX=36 NU=12 B=1024 impl=fused_tb32 ns=997.03
RESULT op=riccati dtype=f64 NX=36 NU=12 B=1024 impl=fused_tb128 ns=376.88
RESULT op=riccati dtype=f64 NX=36 NU=12 B=1024 impl=chain ns=744.04
RESULT op=riccati dtype=f64 NX=36 NU=12 B=4096 impl=fused_tb32 ns=826.32
RESULT op=riccati dtype=f64 NX=36 NU=12 B=4096 impl=fused_tb128 ns=325.31
RESULT op=riccati dtype=f64 NX=36 NU=12 B=4096 impl=chain ns=668.10
CHECK shape=48x16 dtype=f64 impl=fused maxerr=2.776e-16
CHECK shape=48x16 dtype=f64 impl=chain maxerr=2.220e-16
RESULT op=riccati dtype=f64 NX=48 NU=16 B=1 impl=fused_tb32 ns=502748.15
RESULT op=riccati dtype=f64 NX=48 NU=16 B=1 impl=fused_tb128 ns=156115.20
RESULT op=riccati dtype=f64 NX=48 NU=16 B=1 impl=chain ns=74626.56
RESULT op=riccati dtype=f64 NX=48 NU=16 B=16 impl=fused_tb32 ns=31434.32
RESULT op=riccati dtype=f64 NX=48 NU=16 B=16 impl=fused_tb128 ns=9800.48
RESULT op=riccati dtype=f64 NX=48 NU=16 B=16 impl=chain ns=4397.00
RESULT op=riccati dtype=f64 NX=48 NU=16 B=64 impl=fused_tb32 ns=7857.48
RESULT op=riccati dtype=f64 NX=48 NU=16 B=64 impl=fused_tb128 ns=2450.98
RESULT op=riccati dtype=f64 NX=48 NU=16 B=64 impl=chain ns=1347.01
RESULT op=riccati dtype=f64 NX=48 NU=16 B=256 impl=fused_tb32 ns=3916.43
RESULT op=riccati dtype=f64 NX=48 NU=16 B=256 impl=fused_tb128 ns=1212.46
RESULT op=riccati dtype=f64 NX=48 NU=16 B=256 impl=chain ns=991.55
RESULT op=riccati dtype=f64 NX=48 NU=16 B=1024 impl=fused_tb32 ns=3417.29
RESULT op=riccati dtype=f64 NX=48 NU=16 B=1024 impl=fused_tb128 ns=1053.21
RESULT op=riccati dtype=f64 NX=48 NU=16 B=1024 impl=chain ns=778.03
RESULT op=riccati dtype=f64 NX=48 NU=16 B=4096 impl=fused_tb32 ns=3094.28
RESULT op=riccati dtype=f64 NX=48 NU=16 B=4096 impl=fused_tb128 ns=961.21
RESULT op=riccati dtype=f64 NX=48 NU=16 B=4096 impl=chain ns=708.65
# done
